num-db,wall-ms,num-cpu,cpu-user-ms,cpu-sys-ms,cpu-util-pct,http-requests,http-throttle,http-5xx,http-2xx,new-conns,max-goroutines
1,60636.43,48,13364.90,2247.45,0.54,33888,0,0,33888,51,225
5,60635.71,48,77156.95,8386.33,2.94,184943,0,0,184913,65,1240
10,61101.03,48,192718.97,19221.56,7.23,406211,0,0,406001,120,2825
15,61221.87,48,269242.80,25576.20,10.03,526976,0,0,526514,140,3530
20,61937.18,48,317205.50,29837.71,11.67,594313,0,0,593651,162,4275
25,63018.41,48,315187.22,28009.84,11.35,582311,0,0,581334,192,4546
30,64902.65,48,310862.55,29410.26,10.92,576635,0,18,574914,274,5323
35,65120.36,48,352804.35,32439.34,12.32,639877,0,1,638011,158,5967
40,66340.95,48,360533.94,32386.71,12.34,647559,0,15,644820,295,6289
45,65228.64,48,369002.85,33332.56,12.85,659420,0,15,656827,439,6597
50,66914.17,48,385653.84,34695.97,13.09,693279,0,37,689451,422,7880
